sign	grp	nr	ref	name	comment	author	date	x
Wm-BOT	Wm	7350		Bott, Francis	1904-1998	gw	2006.11.08	
Cm-CAL	Cm	5580		Calori, Guido		ph	2006.11.08	
Wa-SCH	Wa	4110		Schlegel, Julius		ph	2006.11.08	
Gh-RUE	Gh	41		De La Rue, Jean Baptiste		gw	2006.11.09	
Zu-SIM	Zu	5404		Simon <Fidati> aus Cascia		gw	2006.11.13	
Wm-MAY	Wm	2020		Mayer, Katharina		gw	2006.11.13	
Xh-HOL	Xh	3800		Holkham		ph	2006.11.13	
K-MAZ	K	9696		Mazzatinti, Giuseppe		ph	2006.11.14	
Wa-TER	Wa	788	v	Terbrugghen, Hendrick	siehe Brugghen, H. ter = Wa-BRU 2630	gw	2006.11.15	
Zs-IAG	Zs	1922		Jagemann, Christian Joseph		gw	2006.11.20	
KatA-ACQ	KatA	7962		Acqui Terme		gw	2006.11.20	
KatP-RIM	KatP	3470		Riminaldi, Giovanni Maria		ph	2006.11.20	
Wm-GAR	Wm	8306		Garve, Theo		gw	2006.11.20	
KatE-COR	KatE	1540		Cordoba		ph	2006.11.20	
Wm-TOM	Wm	2390		Tomforde, Karl		gw	2006.11.20	
Wm-KAP	Wm	5780		Kappel, Klaus		gw	2006.11.20	
Wm-ALT	Wm	2974		Altheim, Wilhelm		gw	2006.11.21	
Cm-STE	Cm	1135		Stella, Giancarlo		ph	2006.11.21	
Wa-LAS	Wa	1050		Lasciac, Antonio		ph	2006.11.21	
Cm-FIO	Cm	6722		Fioroni, Giuseppe		ph	2006.11.21	
Ca-MAR	Ca	2030		Marinelli, Vincenzo		gw	2006.11.21	
E-LES	E	52		Lesina	Prov. Foggia	gw	2006.11.23	
KatE-CAV	KatE	162		Cavalese		gw	2006.11.24	
Wm-GAR	Wm	1060		Garcia Rossi, Horacio		ph	2006.11.24	
Wa-PRE	Wa	310		Predl, Katharina von in Grassis		gw	2006.11.24	
Cm-PIR	Cm	230		Pirani, Federico		ph	2006.11.27	
Ca-FER	Ca	270		Ferraguti, Arnaldo		ph	2006.11.27	
Zu-IOH	Zu	391		Johannes Hymmonides		ph	2006.11.28	
Wa-FUR	Wa	3335		Furienmeister		ph	2006.11.28	
Cm-BER	Cm	7750		Bertuzzi, Dario		ph	2006.11.29	
Cm-MOS	Cm	1036		Moschi, Mario		ph	2006.11.29	
K-BOR	K	2658		Borgese, Leonardo		ph	2006.11.29	
K-WAG	K	4870		Wagner, Fritz		ph	2006.11.29	
K-BEC	K	3720		Beck, Herbert		ph	2006.11.30	
KatA-FOR	KatA	4225		Forli		gw	2006.11.30	
Xc-PON	Xc	7422		Ponte Capriasca		ph	2006.11.30	
Cm-CRO	Cm	1046		Crociara, Renzo		(import)	2006.12.01	
Cm-FAC	Cm	2070		Facetti, Germano		ph	2006.12.04	
K-ALE	K	8954		Alexander, Jonathan J.G.		gw	2006.12.06	
Cm-ROM	Cm	595		Romano, Pino		gw	2006.12.06	
Ca-ALI	Ca	40		Aliberti, Giancarlo		gw	2006.12.06	
E-VER	E	372		Verrone		ph	2006.12.11	
KatP-GRA	KatP	7210		Grassi, Luigi (Kunsthaendler)		gw	2006.12.11	
Cm-LAN	Cm	1534		Landi, Bruno		ph	2006.12.11	
Wa-ROU	Wa	7270		Rousselet, Gilles		ph	2006.12.11	
Cm-MAR	Cm	2650		Martinotti, Ugo		gw	2006.12.11	
K-VAS	K	5440		Vasoli, Cesare		ph	2006.12.12	
Wm-DEM	Wm	400		Demarco, Hugo		ph	2006.12.12	
Cm-COR	Cm	626		Cordua, Carlo		gw	2006.12.13	
KatP-SFO	KatP	6658		Sforni, Gustavo		gw	2006.12.14	
Xa-PAU	Xa	4170		Paulinzella		ph	2006.12.14	
Cm-LOM	Cm	595		Lomazzi, Ernesto		ph	2006.12.14	
KatE-GAl	KatE	664		Galbiate		gw	2006.12.14	
Wm-KIN	Wm	9770		Kinzinger, Edmund Daniel		ph	2006.12.15	
Wm-BAL	Wm	9710		Balzer, Ferdinand		ph	2006.12.15	
E-ROC	E	324		Roccafranca		ph	2006.12.15	
E-BOR	E	482		Borgorose		ph	2006.12.19	
Wa-MON	Wa	360		Mondion, Charles Francois de		ph	2006.12.20	
K-WIT	K	7380		Witt, Ronald G.		ph	2006.12.20	
KatA-TRE	KatA	8428		Treviso		ph	2006.12.20	
Wa-BLA	Wa	260		Blaeu, Jean		gw	2006.12.21	
Cm-PIN	Cm	7370		Pintacuda, Mimmo		ph	2006.12.21	
Cm-DEN	Cm	390		Denaro, Angelo		ph	2006.12.21	
Cm-ROC	Cm	1180		Rocchi, Cesare		gw	2006.12.22	
K-MOO	K	6910		Moos, Stanislaus von		ph	2006.12.22	
Zu-GUG	Zu	0	v	Guglielmo da Volpiano	siehe Wilhelm von St. Benigne zu Dijon	ph	2006.12.22	
Zu-WIL	Zu	2974		Wilhelm von Saint-Benigne zu Dijon		ph	2006.12.22	
