lev;sys;numbis;text;vw
5;Ar 140;;...............Gelehrtenlexika und Adreßbücher;
5;Ar 160;;...............Sonstiges;
4;Ar xxx;yyy;............Psychologie;
5;Ar 200;;...............Enzyklopädien und Sachlexika;
5;Ar 220;;...............Bibliographien;
5;Ar 240;;...............Gelehrtenlexika und Adreßbücher;
5;Ar 260;;...............Sonstiges;
4;Ar xxx;yyy;............Pädagogik;
5;Ar 300;;...............Enzyklopädien und Sachlexika;
5;Ar 320;;...............Bibliographien;
5;Ar 340;;...............Gelehrtenlexika und Adreßbücher;
5;Ar 360;;...............Sonstiges;
4;Ar xxx;yyy;............sonstige geistesgeschichtliche Disziplinen;
5;Ar 500;;...............Enzyklopädien und Sachlexika;
5;Ar 520;;...............Bibliographien;
5;Ar 540;;...............Gelehrtenlexika und Adreßbücher;
5;Ar 560;;...............Sonstiges;
2;At ;;......Theologie und Frömmigkeit (Weltreligionen);
4;At xxx;yyy;............Weltreligionen zusammenfassend;
5;At 50;;...............Enzyklopädien und Sachlexika;
5;At 60;;...............Bibliographien;
5;At 70;;...............Gelehrtenlexika und Adreßbücher;
5;At 80;;...............Sonstiges;
3;At xxx;yyy;.........Außerchristliche Religionen;
4;At xxx;yyy;............Judentum;
5;At 100;;...............Enzyklopädien und Sachlexika;
5;At 110;;...............Bibliographien;
5;At 115;;...............Gelehrtenlexika und Adreßbücher;
5;At 120;;...............Sonstiges;
4;At xxx;yyy;............Islam;
5;At 130;;...............Enzyklopädien und Sachlexika;
5;At 132;;...............Bibliographien;
5;At 135;;...............Gelehrtenlexika und Adreßbücher;
5;At 138;;...............Sonstiges;
4;At xxx;yyy;............Buddhismus;
5;At 140;;...............Enzyklopädien und Sachlexika;
5;At 142;;...............Bibliographien;
5;At 145;;...............Gelehrtenlexika und Adreßbücher;
5;At 148;;...............Sonstiges;
4;At xxx;yyy;............brahmanische Religionen (wedische Religionen, Brahmanismus, Hinduismus);
5;At 150;;...............Enzyklopädien und Sachlexika;
5;At 152;;...............Bibliographien;
5;At 155;;...............Gelehrtenlexika und Adreßbücher;
5;At 158;;...............Sonstiges;
4;At xxx;yyy;............chinesische Religionen;
5;At 160;;...............Enzyklopädien und Sachlexika;
5;At 162;;...............Bibliographien;
5;At 165;;...............Gelehrtenlexika und Adreßbücher;
5;At 168;;...............Sonstiges;
4;At 190;;............sonstige außerchristliche Religionen;
3;At xxx;yyy;.........Christentum;
4;At 200;;............ausgewählte Bibelausgaben;
4;At 220;;............ausgewählte Bibelkonkordanzen;
4;At 250;;............ausgewählte Sammeleditionen von Apokryphen und Pseudoepigraphen;
4;At 280;;............Namen- und Sachwörterbücher zur Bibel;
4;At ;;............ausgewählte Ausgaben liturgischer Bücher: ;Editionen liturgischer Texte = 6100 ff.
5;At 290;;...............lateinischer Ritus;
5;At 295;;...............byzantinischer Ritus;
4;At xxx;yyy;............Enzyklopädien und Sachlexika;
5;At 300;;...............Theologie allgemein;
5;At 320;;...............Mariologie speziell;
5;At 340;;...............Liturgie speziell;
5;At 360;;...............Hagiographie und Patrozinienkunde speziell;
5;At 380;;...............sonstige Spezialgebiete;
4;At xxx;yyy;............Bibliographien;
